"Key for ""Category"""			
eup	Euploid segment		
lym	Lymphocyte V(D)J recombination		
put	Putative CNV		
			
Sample	Size (bins)	IntDist	Category
LYMcell01	685	0.080683857	eup
LYMcell01	801	0.027480595	eup
LYMcell01	198	0.034390821	eup
LYMcell01	1793	0.017056595	eup
LYMcell01	79	0.033885878	eup
LYMcell01	25	0.495510019	eup
LYMcell01	177	0.01473821	eup
LYMcell01	55	0.069910184	eup
LYMcell01	155	0.017431695	eup
LYMcell01	275	0.019977138	eup
LYMcell01	422	0.107331001	eup
LYMcell01	325	0.043620721	eup
LYMcell01	139	0.047543323	eup
LYMcell01	977	0.006456111	eup
LYMcell01	589	0.038764207	eup
LYMcell01	8	0.132067555	eup
LYMcell01	13	0.465064766	eup
LYMcell01	793	0.044697495	eup
LYMcell01	1295	0.015097746	eup
LYMcell01	1231	0.019312672	eup
LYMcell01	460	0.01321914	eup
LYMcell01	772	0.006138355	eup
LYMcell01	74	0.007047227	eup
LYMcell01	345	0.102466517	eup
LYMcell01	829	0.044303803	eup
LYMcell01	1027	0.034653184	eup
LYMcell01	203	0.058865296	eup
LYMcell01	1065	0.050879739	eup
LYMcell01	42	0.125342362	eup
LYMcell01	814	0.000362512	eup
LYMcell01	103	0.101114773	eup
LYMcell01	65	0.019970534	eup
LYMcell01	1048	0.02576576	eup
LYMcell01	608	0.015994264	eup
LYMcell01	394	0.013979648	eup
LYMcell01	37	0.028270993	eup
LYMcell01	623	0.0114208	eup
LYMcell01	5	0.188211022	eup
LYMcell01	21	0.079806988	eup
LYMcell01	786	0.09303979	eup
LYMcell01	36	0.322591714	eup
LYMcell01	126	0.138584181	eup
LYMcell01	100	0.042673759	eup
LYMcell01	4	0.285728643	eup
LYMcell01	46	0.213513756	eup
LYMcell01	91	0.098705772	eup
LYMcell01	134	0.004800805	eup
LYMcell01	27	0.179319282	eup
LYMcell01	543	0.012272222	eup
LYMcell01	1315	0.003601611	eup
LYMcell03	231	0.15423043	eup
LYMcell03	1672	0.142798789	eup
LYMcell03	554	0.034715645	eup
LYMcell03	12	0.249826007	eup
LYMcell03	107	0.042467515	eup
LYMcell03	107	0.199821182	eup
LYMcell03	50	0.210019214	eup
LYMcell03	179	0.026617579	eup
LYMcell03	111	0.186708187	eup
LYMcell03	255	0.002272065	eup
LYMcell03	955	0.012918717	eup
LYMcell03	30	0.179563044	eup
LYMcell03	321	0.082479796	eup
LYMcell03	630	0.019528089	eup
LYMcell03	93	0.006328156	eup
LYMcell03	22	0.364488101	eup
LYMcell03	376	0.046153176	eup
LYMcell03	23	0.055798431	eup
LYMcell03	167	0.050537292	eup
LYMcell03	122	0.200453084	eup
LYMcell03	973	0.027782132	eup
LYMcell03	90	0.086832099	eup
LYMcell03	505	0.087405335	eup
LYMcell03	213	0.030740466	eup
LYMcell03	69	0.228760571	eup
LYMcell03	95	0.004979109	eup
LYMcell03	48	0.305197483	eup
LYMcell03	785	0.082101757	eup
LYMcell03	29	0.281567992	eup
LYMcell03	1102	0.131349388	eup
LYMcell03	544	0.025450177	eup
LYMcell03	688	0.190343919	eup
LYMcell03	1065	0.058116223	eup
LYMcell03	50	0.174465836	eup
LYMcell03	378	0.008598048	eup
LYMcell03	276	0.035013549	eup
LYMcell03	77	0.038157399	eup
LYMcell03	8	0.484305227	eup
LYMcell03	239	0.108731203	eup
