"Key for ""Type"""				
B	B-cell			
T	T-cell			
U	Unidentified cell type			
				
Sample	Reads	MAPD	CS	Type
LYMcell01	1974378	0.215	0.961	B
LYMcell02	895755	0.325	0.684	U
LYMcell03	1870057	0.198	0.885	B
LYMcell04	932933	0.304	0.817	T
LYMcell05	512564	1.111	0.65	U
LYMcell06	1509888	0.223	0.923	B
LYMcell07	1736676	0.206	0.935	T
LYMcell08	1788867	0.223	0.937	B
LYMcell09	1412514	0.495	0.619	B
LYMcell10	563462	1.122	0.733	B
LYMcell11	641814	0.998	0.577	B
LYMcell12	599506	0.969	0.712	B
LYMcell13	813793	1.01	0.569	U
LYMcell14	876763	1.109	0.602	U
LYMcell15	1318357	0.24	0.949	T
LYMcell16	1306161	0.62	0.84	U
LYMcell17	327337	0.942	0.622	B
LYMcell18	319286	1.082	0.6	U
LYMcell19	38094	0.974	0.876	U
LYMcell20	39736	0.123	0.738	U
LYMcell21	724888	1.01	0.612	B
LYMcell22	1052154	0.959	0.569	U
LYMcell23	151445	0.758	0.577	U
LYMcell24	786833	1.096	0.608	T
LYMcell25	826990	1.03	0.548	U
LYMcell26	955189	0.266	0.915	B
LYMcell27	1831084	0.233	0.878	T
LYMcell28	1271641	0.243	0.919	U
LYMcell29	2109494	0.247	0.864	B
LYMcell30	775648	0.994	0.66	U
LYMcell31	1287183	0.246	0.87	B
LYMcell32	1596780	0.225	0.952	B
LYMcell33	554158	1.203	0.607	U
LYMcell34	1477186	0.246	0.941	B
LYMcell35	1745573	0.281	0.848	U
LYMcell36	340108	1.159	0.696	T
LYMcell37	997427	0.91	0.746	U
LYMcell38	986227	0.744	0.832	B
LYMcell39	708906	0.71	0.568	U
LYMcell40	2609154	0.19	0.911	B
LYMcell41	841613	0.723	0.671	U
LYMcell42	905344	0.647	0.655	U
LYMcell43	1772903	0.228	0.936	B
LYMcell44	639866	0.752	0.626	U
LYMcell45	1339019	0.252	0.927	U
LYMcell46	481302	0.844	0.635	B
LYMcell47	1380314	0.235	0.91	B
dev266	1486142	0.288	0.97	B
dev267	1088284	0.277	0.954	U
dev268	12000	0.033	0.967	U
dev269	699460	0.332	0.687	U
dev270	1012720	0.278	0.968	B
dev271	1529531	0.26	0.943	U
dev272	1257672	0.261	0.978	U
dev273	1513096	0.261	0.953	U
dev274	1193765	0.257	0.968	U
dev275	1177927	0.261	0.972	B
dev276	1700145	0.266	0.959	B
dev277	1069341	0.293	0.962	T
dev278	1090463	0.304	0.939	U
dev279	116960	0.037	0.904	U
dev280	1639502	0.229	0.977	U
dev281	1274190	0.326	0.885	U
dev282	1490886	0.283	0.834	U
dev283	1720802	0.243	0.907	B
dev284	1263042	0.278	0.948	B
dev285	368749	0.76	0.565	U
dev286	1226100	0.257	0.969	T
dev340	1223258	0.256	0.946	B
dev341	1143595	0.25	0.956	U
dev342	1187331	0.254	0.918	B
dev343	1310989	0.258	0.962	U
dev344	1064308	0.271	0.892	B
dev345	1254362	0.243	0.946	B
dev346	1087107	0.252	0.917	B
dev347	1182256	0.248	0.953	B
dev348	1213537	0.261	0.933	U
dev349	1091041	0.266	0.968	B
dev350	1230981	0.244	0.972	B
dev351	1120006	0.26	0.965	U
dev352	749932	0.323	0.963	T
dev353	1307812	0.253	0.929	B
dev354	1299164	0.25	0.926	B
dev355	1182005	0.281	0.951	U
dev356	1294801	0.251	0.932	U
dev357	796467	0.319	0.942	T
dev358	1012040	0.289	0.838	U
dev359	1383395	0.245	0.948	B
dev360	964729	0.295	0.939	T
dev361	974611	0.298	0.948	T
dev362	269359	0.553	0.688	T
dev363	1141604	0.289	0.95	U
dev442	733799	0.332	0.959	T
dev443	1050059	0.285	0.963	B
dev444	1385760	0.254	0.926	B
dev445	1347571	0.257	0.945	T
dev446	1477295	0.234	0.967	B
dev447	1248642	0.254	0.958	B
dev448	755128	0.313	0.935	B
dev450	699968	0.367	0.869	T
dev451	957613	0.295	0.958	T
dev452	1479770	0.242	0.96	B
dev454	1711175	0.26	0.97	U
dev455	1769714	0.225	0.926	T
dev456	622705	0.371	0.902	T
