Size	IntegerDistance
3	0.11
4	0.14
5	0.16
6	0.17
7	0.17
8	0.18
9	0.18
10	0.18
11	0.19
12	0.19
13	0.19
14	0.2
15	0.2
16	0.2
17	0.2
18	0.21
19	0.21
20	0.21
21	0.22
22	0.22
23	0.22
24	0.23
25	0.23
26	0.23
27	0.23
28	0.23
29	0.23
30	0.23
31	0.23
32	0.23
33	0.23
34	0.23
35	0.23
36	0.23
37	0.23
38	0.23
39	0.23
40	0.23
41	0.23
42	0.23
43	0.22
44	0.22
45	0.22
46	0.22
47	0.22
48	0.22
49	0.22
50	0.22
51	0.22
52	0.22
53	0.22
54	0.22
55	0.22
56	0.22
57	0.22
58	0.22
59	0.22
60	0.22
61	0.22
62	0.22
63	0.22
64	0.22
65	0.22
66	0.22
67	0.22
68	0.22
69	0.22
70	0.22
71	0.22
72	0.22
73	0.22
74	0.22
75	0.22
76	0.22
77	0.22
78	0.22
79	0.22
80	0.22
81	0.22
82	0.22
83	0.22
84	0.22
85	0.22
86	0.22
87	0.22
88	0.21
89	0.21
90	0.21
91	0.21
92	0.21
93	0.21
94	0.21
95	0.21
96	0.21
97	0.21
98	0.21
99	0.21
100	0.21
101	0.21
102	0.21
103	0.21
104	0.21
105	0.21
106	0.21
107	0.21
108	0.21
109	0.21
110	0.21
111	0.21
112	0.21
113	0.21
114	0.21
115	0.21
116	0.21
117	0.21
118	0.21
119	0.21
120	0.21
121	0.21
122	0.21
123	0.21
124	0.21
125	0.21
126	0.21
127	0.21
128	0.21
129	0.21
130	0.21
131	0.2
132	0.2
133	0.2
134	0.2
135	0.2
136	0.2
137	0.2
138	0.2
139	0.2
140	0.2
141	0.2
142	0.2
143	0.2
144	0.2
145	0.2
146	0.2
147	0.2
148	0.2
149	0.2
150	0.2
151	0.2
152	0.2
153	0.2
154	0.2
155	0.2
156	0.2
157	0.2
158	0.2
159	0.2
160	0.2
161	0.2
162	0.19
163	0.19
164	0.19
165	0.19
166	0.19
167	0.19
168	0.19
169	0.19
170	0.19
171	0.19
172	0.19
173	0.19
174	0.19
175	0.19
176	0.19
177	0.19
178	0.19
179	0.19
180	0.19
181	0.19
182	0.19
183	0.19
184	0.19
185	0.19
186	0.19
187	0.19
188	0.19
189	0.19
190	0.19
191	0.19
192	0.19
193	0.19
194	0.19
195	0.18
196	0.18
197	0.18
198	0.18
199	0.18
200	0.18
201	0.18
202	0.18
203	0.18
204	0.18
205	0.18
206	0.18
207	0.18
208	0.18
209	0.18
210	0.18
211	0.18
212	0.18
213	0.18
214	0.18
215	0.18
216	0.18
217	0.18
218	0.18
219	0.18
220	0.18
221	0.18
222	0.18
223	0.18
224	0.18
225	0.18
226	0.18
227	0.18
228	0.18
229	0.18
230	0.18
231	0.18
232	0.18
233	0.18
234	0.18
235	0.18
236	0.18
237	0.18
238	0.18
239	0.18
240	0.18
241	0.17
242	0.17
243	0.17
244	0.17
245	0.17
246	0.17
247	0.17
248	0.17
249	0.17
250	0.17
251	0.17
252	0.17
253	0.17
254	0.17
255	0.17
256	0.17
257	0.17
258	0.17
259	0.17
260	0.17
261	0.17
262	0.17
263	0.17
264	0.17
265	0.17
266	0.17
267	0.17
268	0.17
269	0.17
270	0.17
271	0.17
272	0.17
273	0.17
274	0.17
275	0.17
276	0.17
277	0.17
278	0.17
279	0.17
280	0.17
281	0.17
282	0.17
283	0.17
284	0.17
285	0.17
286	0.17
287	0.17
288	0.17
289	0.17
290	0.17
291	0.17
292	0.17
293	0.17
294	0.17
295	0.17
296	0.17
297	0.17
298	0.17
299	0.17
300	0.17
301	0.17
302	0.17
303	0.17
304	0.17
305	0.17
306	0.17
307	0.17
308	0.16
309	0.16
310	0.16
311	0.16
312	0.16
313	0.16
314	0.16
315	0.16
316	0.16
317	0.16
318	0.16
319	0.16
320	0.16
321	0.16
322	0.16
323	0.16
324	0.16
325	0.16
326	0.16
327	0.16
328	0.16
329	0.16
330	0.16
331	0.16
332	0.16
333	0.16
334	0.16
335	0.16
336	0.16
337	0.16
338	0.16
339	0.16
340	0.16
341	0.16
342	0.16
343	0.16
344	0.16
345	0.16
346	0.16
347	0.16
348	0.16
349	0.16
350	0.16
351	0.16
352	0.16
353	0.16
354	0.16
355	0.16
356	0.16
357	0.16
358	0.16
359	0.16
360	0.16
361	0.16
362	0.16
363	0.16
364	0.16
365	0.16
366	0.16
367	0.16
368	0.16
369	0.16
370	0.16
371	0.16
372	0.16
373	0.16
374	0.16
375	0.16
376	0.16
377	0.16
378	0.16
379	0.16
380	0.16
381	0.16
382	0.16
383	0.16
384	0.16
385	0.16
386	0.16
387	0.16
388	0.16
389	0.16
390	0.16
391	0.16
392	0.16
393	0.16
394	0.16
395	0.16
396	0.16
397	0.16
398	0.16
399	0.16
400	0.16
401	0.16
402	0.16
403	0.16
404	0.16
405	0.16
406	0.16
407	0.16
408	0.15
409	0.15
410	0.15
411	0.15
412	0.15
413	0.15
414	0.15
415	0.15
416	0.15
417	0.15
418	0.15
419	0.15
420	0.15
421	0.15
422	0.15
423	0.15
424	0.15
425	0.15
426	0.15
427	0.15
428	0.15
429	0.15
430	0.15
431	0.15
432	0.15
433	0.15
434	0.15
435	0.15
436	0.15
437	0.15
438	0.15
439	0.15
440	0.15
441	0.15
442	0.15
443	0.15
444	0.15
445	0.15
446	0.15
447	0.15
448	0.15
449	0.15
450	0.15
451	0.15
452	0.15
453	0.15
454	0.15
455	0.15
456	0.15
457	0.15
458	0.15
459	0.15
460	0.15
461	0.15
462	0.15
463	0.15
464	0.15
465	0.15
466	0.15
467	0.15
468	0.15
469	0.15
470	0.15
471	0.15
472	0.15
473	0.15
474	0.15
475	0.15
476	0.15
477	0.15
478	0.15
479	0.15
480	0.15
481	0.15
482	0.15
483	0.15
484	0.15
485	0.15
486	0.15
487	0.15
488	0.15
489	0.15
490	0.15
491	0.15
492	0.15
493	0.15
494	0.15
495	0.15
496	0.15
497	0.15
498	0.15
499	0.15
500	0.15
501	0.15
502	0.15
503	0.15
504	0.15
505	0.15
506	0.15
507	0.15
508	0.15
509	0.15
510	0.15
511	0.15
512	0.15
513	0.15
514	0.15
515	0.15
516	0.15
517	0.15
518	0.15
519	0.15
520	0.15
521	0.15
522	0.15
523	0.15
524	0.15
525	0.15
526	0.15
527	0.15
528	0.15
529	0.15
530	0.15
531	0.15
532	0.15
533	0.15
534	0.15
535	0.15
536	0.15
537	0.15
538	0.15
539	0.14
540	0.14
541	0.14
542	0.14
543	0.14
544	0.14
545	0.14
546	0.14
547	0.14
548	0.14
549	0.14
